y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
9,dashboard,high,0.11470751785766778,0.019181445559897474,Inf,0.07711257538885301,0.15230246032648254,0.07711257538885301,0.15230246032648254,NA,NA
10,dashboard,high,0.05209079861332909,0.01339940730479789,Inf,0.025828442881742315,0.07835315434491587,0.025828442881742315,0.07835315434491587,NA,NA
11,dashboard,high,0.0781749253661663,0.01750018769137241,Inf,0.043875187768385226,0.11247466296394737,0.043875187768385226,0.11247466296394737,NA,NA
12,dashboard,high,0.06963574741925133,0.017677922915750478,Inf,0.0349876551829051,0.10428383965559755,0.0349876551829051,0.10428383965559755,NA,NA
13,dashboard,high,0.0846419473189961,0.023293302891801818,Inf,0.038987912570081856,0.13029598206791035,0.038987912570081856,0.13029598206791035,NA,NA
14,dashboard,high,0.03690389865180299,0.014135081439205669,Inf,0.009199648112419294,0.06460814919118668,0.009199648112419294,0.06460814919118668,NA,NA
15,dashboard,high,0.03470079760475686,0.015290080808911794,Inf,0.0047327898985826955,0.06466880531093103,0.0047327898985826955,0.06466880531093103,NA,NA
16,dashboard,high,0.012898322437626744,0.007866426748835554,Inf,-0.0025195906771134473,0.028316235552366936,-0.0025195906771134473,0.028316235552366936,NA,NA
17,dashboard,high,0.004309623769119919,0.0035911545276245327,Inf,-0.0027289097679421143,0.011348157306181952,-0.0027289097679421143,0.011348157306181952,NA,NA
18,dashboard,high,0.003039459701101463,0.0029214929738632088,Inf,-0.0026865613087572425,0.008765480710960168,-0.0026865613087572425,0.008765480710960168,NA,NA
19,dashboard,high,5.093405622834668e-4,8.1592895022791e-4,Inf,-0.0010898507941068108,0.002108531918673744,-0.0010898507941068108,0.002108531918673744,NA,NA
